count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
5.760000,0.020000,-0.417146,-7.086864,-6.475862,-0.663101,0.580348,-2.947918,-0.664049,0.577628,-2.950840,-0.047352,-0.736276,-0.675023,Fall
5.780000,0.020000,-0.495360,-7.436817,-6.277476,-0.661894,0.581951,-2.947894,-0.663101,0.580348,-2.947918,-0.056649,-0.766258,-0.640031,Fall
5.800000,0.020000,-0.562290,-7.674303,-6.080068,-0.662010,0.581768,-2.947557,-0.661894,0.581951,-2.947894,-0.056724,-0.781359,-0.621499,Fall
5.820000,0.020000,-0.544760,-7.682058,-6.118402,-0.662998,0.580797,-2.947092,-0.662010,0.581768,-2.947557,-0.050498,-0.778137,-0.626061,Fall
5.840000,0.020000,-0.501582,-7.493456,-6.384218,-0.663940,0.579007,-2.946385,-0.662998,0.580797,-2.947092,-0.046328,-0.754737,-0.654390,After_fall
5.860000,0.020000,-0.433018,-7.254846,-6.554565,-0.663974,0.579143,-2.945842,-0.663940,0.579007,-2.946385,-0.043967,-0.740228,-0.670917,After_fall
5.880000,0.020000,-0.368689,-7.254999,-6.648303,-0.662520,0.578977,-2.946858,-0.663974,0.579143,-2.945842,-0.044996,-0.738703,-0.672528,After_fall
5.900000,0.020000,-0.520600,-7.234304,-6.479458,-0.663563,0.579972,-2.945361,-0.662520,0.578977,-2.946858,-0.047750,-0.742515,-0.668125,After_fall
5.920000,0.020000,-0.428131,-7.405213,-6.440310,-0.663119,0.579886,-2.945699,-0.663563,0.579972,-2.945361,-0.045907,-0.754423,-0.654781,After_fall
5.940000,0.020000,-0.426917,-7.440167,-6.403430,-0.663183,0.579891,-2.946180,-0.663119,0.579886,-2.945699,-0.043190,-0.758452,-0.650297,After_fall
5.960000,0.020000,-0.417148,-7.441409,-6.378252,-0.663094,0.579746,-2.946009,-0.663183,0.579891,-2.946180,-0.042981,-0.757818,-0.651049,After_fall
5.980000,0.020000,-0.402776,-7.438365,-6.393225,-0.662930,0.579852,-2.946345,-0.663094,0.579746,-2.946009,-0.041894,-0.758784,-0.649994,After_fall
6.000000,0.020000,-0.400703,-7.464559,-6.352602,-0.662719,0.580102,-2.946651,-0.662930,0.579852,-2.946345,-0.041922,-0.762183,-0.646002,After_fall
6.020000,0.020000,-0.418917,-7.491792,-6.315508,-0.662675,0.580167,-2.946656,-0.662719,0.580102,-2.946651,-0.042924,-0.764024,-0.643758,After_fall
6.040000,0.020000,-0.485677,-7.444992,-6.336939,-0.663364,0.580017,-2.945776,-0.662675,0.580167,-2.946656,-0.046000,-0.758155,-0.650450,After_fall
6.060000,0.020000,-0.530777,-7.317506,-6.428081,-0.663650,0.580406,-2.944510,-0.663364,0.580017,-2.945776,-0.052646,-0.747905,-0.661715,After_fall
6.080000,0.020000,-0.551939,-7.286283,-6.484250,-0.663606,0.580895,-2.943838,-0.663650,0.580406,-2.944510,-0.056490,-0.745232,-0.664408,After_fall
6.100000,0.020000,-0.330571,-7.456043,-6.502244,-0.659885,0.582051,-2.948166,-0.663606,0.580895,-2.943838,-0.052663,-0.765935,-0.640757,After_fall
6.120000,0.020000,-0.495966,-7.721953,-6.021230,-0.660710,0.581399,-2.947095,-0.659885,0.582051,-2.948166,-0.046351,-0.783830,-0.619244,After_fall
6.140000,0.020000,-0.463390,-7.673212,-6.071227,-0.660963,0.581699,-2.946989,-0.660710,0.581399,-2.947095,-0.045943,-0.783713,-0.619422,After_fall
6.160000,0.020000,-0.489175,-7.688198,-6.027532,-0.661168,0.581855,-2.946249,-0.660963,0.581699,-2.946989,-0.048825,-0.784506,-0.618196,After_fall
6.180000,0.020000,-0.507527,-7.672442,-6.098020,-0.661317,0.581733,-2.946204,-0.661168,0.581855,-2.946249,-0.050972,-0.781481,-0.621844,After_fall
6.200000,0.020000,-0.550702,-7.623098,-6.088757,-0.662010,0.581776,-2.944975,-0.661317,0.581733,-2.946204,-0.052609,-0.777294,-0.626934,After_fall
6.220000,0.020000,-0.510435,-7.631863,-6.173933,-0.661939,0.581521,-2.945292,-0.662010,0.581776,-2.944975,-0.052394,-0.776664,-0.627732,After_fall
6.240000,0.020000,-0.510153,-7.606840,-6.148174,-0.661876,0.581765,-2.945093,-0.661939,0.581521,-2.945292,-0.052322,-0.776662,-0.627741,After_fall
6.260000,0.020000,-0.529922,-7.616771,-6.154051,-0.661875,0.581836,-2.945071,-0.661876,0.581765,-2.945093,-0.054021,-0.776791,-0.627437,After_fall
